Speaker,Token,Pitch,Time,Sex,YOB,Tone
8,maj5,104,0,M,1959,4
8,maj5,113,0.25,M,1959,4
8,maj5,117,0.5,M,1959,4
8,maj5,107,0.75,M,1959,4
8,maj5,93,1,M,1959,4
8,maw6,105,0,M,1959,5
8,maw6,104,0.25,M,1959,5
8,maw6,104,0.5,M,1959,5
8,maw6,114,0.75,M,1959,5
8,maw6,120,1,M,1959,5
9,ma1,113,0,M,1949,1
9,ma1,112,0.25,M,1949,1
9,ma1,110,0.5,M,1949,1
9,ma1,106,0.75,M,1949,1
9,ma1,105,1,M,1949,1
9,ma2,97,0,M,1949,6
9,ma2,91,0.25,M,1949,6
9,ma2,89,0.5,M,1949,6
9,ma2,85,0.75,M,1949,6
9,ma2,86,1,M,1949,6
9,maj3,112,0,M,1949,2
9,maj3,111,0.25,M,1949,2
9,maj3,105,0.5,M,1949,2
9,maj3,92,0.75,M,1949,2
9,maj3,73,1,M,1949,2
9,maj4,125,0,M,1949,3
9,maj4,153,0.25,M,1949,3
9,maj4,155,0.5,M,1949,3
9,maj4,146,0.75,M,1949,3
9,maj4,122,1,M,1949,3
9,maj5,89,0,M,1949,4
9,maj5,95,0.25,M,1949,4
9,maj5,110,0.5,M,1949,4
9,maj5,110,0.75,M,1949,4
9,maj5,91,1,M,1949,4
9,maw6,104,0,M,1949,5
9,maw6,105,0.25,M,1949,5
9,maw6,104,0.5,M,1949,5
9,maw6,113,0.75,M,1949,5
9,maw6,119,1,M,1949,5
10,ma1,113,0,M,1959,1
10,ma1,112,0.25,M,1959,1
10,ma1,110,0.5,M,1959,1
10,ma1,106,0.75,M,1959,1
10,ma1,105,1,M,1959,1
10,ma2,97,0,M,1959,6
10,ma2,91,0.25,M,1959,6
10,ma2,89,0.5,M,1959,6
10,ma2,86,0.75,M,1959,6
10,ma2,87,1,M,1959,6
10,maj3,113,0,M,1959,2
10,maj3,112,0.25,M,1959,2
10,maj3,105,0.5,M,1959,2
10,maj3,95,0.75,M,1959,2
10,maj3,69,1,M,1959,2
10,maj4,125,0,M,1959,3
10,maj4,148,0.25,M,1959,3
10,maj4,154,0.5,M,1959,3
10,maj4,148,0.75,M,1959,3
10,maj4,125,1,M,1959,3
10,maj5,88,0,M,1959,4
10,maj5,96,0.25,M,1959,4
10,maj5,113,0.5,M,1959,4
10,maj5,113,0.75,M,1959,4
10,maj5,91,1,M,1959,4
10,maw6,104,0,M,1959,5
10,maw6,105,0.25,M,1959,5
10,maw6,105,0.5,M,1959,5
10,maw6,113,0.75,M,1959,5
10,maw6,121,1,M,1959,5
11,ma1,128,0,M,1932,1
11,ma1,130,0.25,M,1932,1
11,ma1,128,0.5,M,1932,1
11,ma1,125,0.75,M,1932,1
11,ma1,125,1,M,1932,1
11,ma2,105,0,M,1932,6
11,ma2,103,0.25,M,1932,6
11,ma2,99,0.5,M,1932,6
11,ma2,97,0.75,M,1932,6
11,ma2,101,1,M,1932,6
11,maj3,130,0,M,1932,2
11,maj3,127,0.25,M,1932,2
11,maj3,119,0.5,M,1932,2
11,maj3,109,0.75,M,1932,2
11,maj3,101,1,M,1932,2
11,maj4,125,0,M,1932,3
11,maj4,144,0.25,M,1932,3
11,maj4,156,0.5,M,1932,3
11,maj4,139,0.75,M,1932,3
11,maj4,114,1,M,1932,3
11,maj5,99,0,M,1932,4
11,maj5,114,0.25,M,1932,4
11,maj5,126,0.5,M,1932,4
11,maj5,119,0.75,M,1932,4
11,maj5,100,1,M,1932,4
11,maw6,125,0,M,1932,5
11,maw6,113,0.25,M,1932,5
11,maw6,125,0.5,M,1932,5
11,maw6,133,0.75,M,1932,5
11,maw6,149,1,M,1932,5
12,ma1,109,0,M,1939,1
12,ma1,111,0.25,M,1939,1
12,ma1,115,0.5,M,1939,1
12,ma1,111,0.75,M,1939,1
12,ma1,103,1,M,1939,1
12,ma2,105,0,M,1939,6
12,ma2,98,0.25,M,1939,6
12,ma2,96,0.5,M,1939,6
12,ma2,96,0.75,M,1939,6
12,ma2,88,1,M,1939,6
12,maj3,110,0,M,1939,2
12,maj3,109,0.25,M,1939,2
12,maj3,111,0.5,M,1939,2
12,maj3,109,0.75,M,1939,2
12,maj3,92,1,M,1939,2
12,maj4,130,0,M,1939,3
12,maj4,140,0.25,M,1939,3
12,maj4,132,0.5,M,1939,3
12,maj4,125,0.75,M,1939,3
12,maj4,104,1,M,1939,3
12,maj5,87,0,M,1939,4
12,maj5,98,0.25,M,1939,4
12,maj5,109,0.5,M,1939,4
12,maj5,112,0.75,M,1939,4
12,maj5,87,1,M,1939,4
12,maw6,87,0,M,1939,5
12,maw6,100,0.25,M,1939,5
12,maw6,108,0.5,M,1939,5
12,maw6,112,0.75,M,1939,5
12,maw6,83,1,M,1939,5
13,ma1,241,0,F,1970,1
13,ma1,240,0.25,F,1970,1
13,ma1,233,0.5,F,1970,1
13,ma1,232,0.75,F,1970,1
13,ma1,230,1,F,1970,1
13,ma2,210,0,F,1970,6
13,ma2,199,0.25,F,1970,6
13,ma2,192,0.5,F,1970,6
13,ma2,185,0.75,F,1970,6
13,ma2,180,1,F,1970,6
13,maj3,224,0,F,1970,2
13,maj3,229,0.25,F,1970,2
13,maj3,238,0.5,F,1970,2
13,maj3,210,0.75,F,1970,2
13,maj3,188,1,F,1970,2
13,maj4,233,0,F,1970,3
13,maj4,250,0.25,F,1970,3
13,maj4,263,0.5,F,1970,3
13,maj4,275,0.75,F,1970,3
13,maj4,284,1,F,1970,3
13,maj5,200,0,F,1970,4
13,maj5,208,0.25,F,1970,4
13,maj5,214,0.5,F,1970,4
13,maj5,233,0.75,F,1970,4
13,maj5,225,1,F,1970,4
13,maw6,200,0,F,1970,5
13,maw6,207,0.25,F,1970,5
